layer,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19
14,0.49516908212560384,0.4976456532433762,0.5003069183397053,0.4790371016177469,0.4961091526308918,0.47619793706750224,0.4912912912912913,0.5042270531400965,0.47463768115942034,0.47529373430701716,0.47524154589371975,0.4948190849830194,0.4685247881523718
15,0.4833937198067633,0.48898057104888215,0.49272736977655,0.5048209499822401,0.4921709753231493,0.476460699830265,0.48168168168168163,0.5117753623188405,0.46557971014492755,0.48599690772366294,0.46316425120772947,0.4841169759202546,0.4752233969536179
16,0.49698067632850246,0.503886109673586,0.5000100082067295,0.49700668410345833,0.4837331897114507,0.48552356704530614,0.49309309309309307,0.49667874396135264,0.46105072463768115,0.4916575623406742,0.47433574879227053,0.4963386643714512,0.4757876640004224
17,0.48429951690821255,0.4898255163909813,0.4966722712624352,0.5032871581258678,0.4861502807154981,0.4779834182008094,0.48918918918918924,0.5123792270531401,0.48067632850241554,0.49669049763926415,0.4764492753623188,0.5048940130907343,0.47004269950634886
18,0.49516908212560384,0.4988132431206435,0.4941919040279696,0.49967548193354644,0.49244353048700873,0.4734381120250686,0.49639639639639643,0.5057367149758453,0.46618357487922707,0.47765447006433726,0.4827898550724637,0.49876732253781436,0.4779226393178639
19,0.49245169082125595,0.49431858113072535,0.492977574944788,0.49702121476315025,0.4957860033946991,0.4722662880271576,0.4885885885885886,0.4912439613526569,0.4827898550724637,0.5017489889406397,0.4897342995169081,0.4917682499649712,0.49005273092051427
20,0.4809782608695652,0.49106019077556073,0.49356972717628445,0.48139914107656034,0.49218729599164385,0.48640325107716414,0.47987987987987984,0.5021135265700483,0.4791666666666667,0.48242545633437467,0.49335748792270523,0.4826107408074621,0.49578449618542275
21,0.4906400966183575,0.4931382132520652,0.48903434149335784,0.4880218928606026,0.4924467946207076,0.47619140880010447,0.4918918918918919,0.4900362318840579,0.46890096618357485,0.48179294526543104,0.49607487922705307,0.4987339618487159,0.48791775560307277
22,0.4975845410628019,0.4916320063378887,0.48263909739319577,0.46944202266782914,0.49244189842015934,0.48011326543935245,0.4894894894894895,0.4903381642512077,0.4758454106280194,0.46782499249292414,0.49698067632850246,0.4807959193205094,0.47273864206330346
23,0.46769323671497576,0.4827081696151905,0.4808192718028783,0.48200297071264825,0.4945733777255517,0.4747029638333986,0.4711711711711712,0.4879227053140096,0.47946859903381656,0.48509446137529627,0.5018115942028986,0.4911193845620076,0.47702674163828834
24,0.470108695652174,0.49495428670001723,0.4841603448160825,0.477508153314605,0.4921709753231493,0.4831211646429037,0.46516516516516515,0.4897342995169082,0.47222222222222227,0.4874775586350539,0.5063405797101449,0.49785824375988313,0.47703334125287084
